2015-01,12
2015-02,28
2015-03,14
2015-04,5
2015-05,13
2015-06,10
2015-07,7
2015-08,6
2015-09,6
2015-10,9
2015-11,6
2015-12,2
2016-01,4
2016-02,10
2016-03,14
2016-04,10
2016-05,13
2016-06,6
2016-07,5
2016-08,8
2016-09,7
2016-10,3
2016-11,6
2016-12,13
2017-01,5
2017-02,11
2017-03,6
2017-04,9
2017-05,11
2017-06,15
2017-07,13
2017-08,18
2017-09,6
2017-10,13
2017-11,9
2017-12,33
2018-01,18
2018-02,6
2018-03,3
2018-04,5
2018-05,5
2018-06,16
2018-07,10
2018-08,8
2018-09,10
2018-10,7
2018-11,18
2018-12,7
2019-01,13
2019-02,4
2019-03,14
2019-04,10
2019-05,8
2019-06,10
2019-07,12
2019-08,10
2019-09,16
2019-10,10
2019-11,7
2019-12,4
2020-01,4
2020-02,5
2020-03,160
2020-04,97
