2015-01,5
2015-02,3
2015-03,2
2015-04,10
2015-05,3
2015-06,5
2015-07,3
2015-08,4
2015-09,4
2015-10,3
2015-11,6
2015-12,0
2016-01,1
2016-02,2
2016-03,3
2016-04,3
2016-05,1
2016-06,5
2016-07,5
2016-08,3
2016-09,5
2016-10,6
2016-11,2
2016-12,3
2017-01,3
2017-02,4
2017-03,4
2017-04,5
2017-05,4
2017-06,10
2017-07,15
2017-08,4
2017-09,3
2017-10,6
2017-11,2
2017-12,6
2018-01,3
2018-02,4
2018-03,2
2018-04,1
2018-05,4
2018-06,11
2018-07,3
2018-08,8
2018-09,6
2018-10,5
2018-11,5
2018-12,6
2019-01,7
2019-02,3
2019-03,2
2019-04,1
2019-05,7
2019-06,7
2019-07,4
2019-08,6
2019-09,6
2019-10,5
2019-11,5
2019-12,2
2020-01,1
2020-02,5
2020-03,68
2020-04,44
