2015-01,0
2015-02,0
2015-03,0
2015-04,4
2015-05,3
2015-06,3
2015-07,1
2015-08,3
2015-09,2
2015-10,4
2015-11,4
2015-12,0
2016-01,1
2016-02,1
2016-03,2
2016-04,2
2016-05,1
2016-06,4
2016-07,7
2016-08,5
2016-09,4
2016-10,4
2016-11,0
2016-12,2
2017-01,0
2017-02,2
2017-03,1
2017-04,1
2017-05,6
2017-06,9
2017-07,14
2017-08,8
2017-09,5
2017-10,2
2017-11,1
2017-12,1
2018-01,0
2018-02,5
2018-03,3
2018-04,1
2018-05,3
2018-06,11
2018-07,12
2018-08,10
2018-09,5
2018-10,6
2018-11,7
2018-12,1
2019-01,0
2019-02,2
2019-03,0
2019-04,4
2019-05,4
2019-06,5
2019-07,11
2019-08,8
2019-09,2
2019-10,1
2019-11,2
2019-12,5
2020-01,2
2020-02,3
2020-03,1
2020-04,0
